Date,Stationary1,Stationary2,Stationary3,Stationary4,Stationary5,Stationary6,Stationary7,Stationary8,Stationary9,Stationary10
5/18/2023,1358.959835,15.02085311,1323.39581,829.3845461,14.61450492,1289.234258,1168.096617,1231.725815,3885.187918,1334.188818
5/19/2023,1358.926357,15.47895214,1323.398728,829.6432906,15.67400339,1289.288396,1168.0097,1231.85231,3885.155414,1334.090887
5/20/2023,1358.747052,14.5937997,1323.085109,828.9315432,14.17988402,1288.92226,1167.785417,1231.506467,3885.541064,1333.764038
5/21/2023,1358.083494,14.15734775,1322.487833,829.0532609,14.16071611,1288.294905,1167.293128,1230.874218,3884.919321,1333.339017
5/22/2023,1357.73264,13.50022836,1322.067409,828.7919836,13.35812837,1287.952127,1167.032456,1230.445197,3884.99844,1332.941528
5/23/2023,1357.972034,13.79043081,1322.188417,828.7082386,13.48405042,1288.101934,1167.183042,1230.801469,3884.747342,1333.077332
5/24/2023,1357.654869,13.61839169,1321.890379,828.4807562,13.10626996,1287.861092,1166.931845,1230.503351,3884.039918,1332.832515
5/25/2023,1357.717665,13.59594304,1322.036438,828.5185332,13.47215244,1287.962351,1167.029156,1230.574489,3884.497053,1332.885505
5/26/2023,1357.91997,13.904153,1322.248087,828.58803,13.76640807,1288.113192,1167.173553,1230.734862,3884.522205,1333.008702
5/27/2023,1358.176549,13.85773365,1322.306197,828.4920388,13.78738961,1288.132616,1167.196254,1230.781651,3884.63385,1333.170647
5/28/2023,1357.862255,14.28108237,1322.01103,828.5091592,14.59662927,1287.836443,1167.025071,1230.456507,3883.578681,1332.869017
5/29/2023,1358.783344,14.25210297,1322.937526,828.6134196,13.55051922,1288.752751,1168.066783,1231.526359,3885.624147,1333.815535
5/30/2023,1358.625569,14.30839885,1322.793709,828.7566992,14.09756593,1288.716229,1167.922192,1231.385877,3885.535843,1333.728729
5/31/2023,1358.330581,14.19084947,1322.506314,828.6288019,12.98440496,1288.377961,1167.666976,1231.106905,3885.172185,1333.437512
6/1/2023,1358.039297,13.77027807,1322.246187,828.5193819,12.43768799,1288.021342,1167.382329,1230.877379,3885.07527,1333.156481
6/2/2023,1358.248731,13.94819436,1322.42965,828.550538,13.78562273,1288.203194,1167.556463,1231.005775,3885.066406,1333.386772
6/3/2023,1358.057944,14.1074162,1322.299012,828.7693801,14.51993485,1288.049686,1167.358044,1230.787089,3884.817631,1333.263236
6/4/2023,1358.212315,13.97522556,1322.466471,828.6863178,13.29335444,1288.179017,1167.476264,1230.982423,3885.30384,1333.44792
6/5/2023,1359.078394,14.31277927,1323.321398,829.1551664,15.49430799,1289.077636,1168.340435,1231.758012,3886.564022,1334.532691
6/6/2023,1359.982121,13.89604498,1324.22454,828.7756247,13.0306002,1289.938129,1169.130191,1232.649448,3888.541514,1335.367864
6/7/2023,1359.541819,13.74035896,1323.795262,828.7343524,12.42209291,1289.550761,1168.76515,1232.170823,3887.994791,1334.905254
6/8/2023,1358.558251,13.2276861,1322.749703,828.5515253,13.67597927,1288.515449,1167.82825,1231.137928,3886.401262,1333.968812
6/9/2023,1358.257281,13.26118243,1322.463225,828.6924265,13.92455301,1288.212358,1167.598168,1230.903221,3886.192669,1333.691574
6/10/2023,1358.490146,13.25572482,1322.654388,828.5079929,13.17923826,1288.485405,1167.776577,1231.050796,3886.157227,1333.839328
6/11/2023,1358.204336,12.99130774,1322.378846,828.426529,12.48366489,1288.171029,1167.513217,1230.797545,3886.11536,1333.556972
6/12/2023,1358.155281,12.95671455,1322.242095,828.3820731,12.75446676,1288.045258,1167.474578,1230.739044,3885.605173,1333.39956
6/13/2023,1358.050971,12.9050252,1322.155491,828.3050825,12.55385306,1288.022477,1167.440892,1230.636163,3885.505814,1333.335888
6/14/2023,1358.067319,12.96342404,1322.115075,828.3807115,12.75864457,1287.9658,1167.403194,1230.592309,3885.503336,1333.28349
6/15/2023,1357.683017,13.04698867,1321.798775,828.3921458,13.22835697,1287.612299,1167.121433,1230.307271,3884.796602,1332.994208
6/16/2023,1357.490313,13.04501048,1321.562695,828.3607461,14.13331291,1287.405525,1166.890378,1230.309326,3884.341354,1332.795042
6/17/2023,1357.562058,13.30004153,1321.591,828.3960414,13.83070928,1287.481329,1166.935186,1230.373509,3884.369195,1332.764836
6/18/2023,1357.49585,13.0372438,1321.464862,828.2965792,13.48599569,1287.394732,1166.783258,1230.507919,3884.310945,1332.686889
6/19/2023,1357.674046,13.05356878,1321.685215,828.3247398,13.77338456,1287.640507,1166.982269,1230.817481,3884.677766,1332.941896
6/20/2023,1357.852816,13.13578918,1321.874578,828.4500163,14.22991102,1287.875498,1167.145874,1231.016754,3885.203144,1333.155162
6/21/2023,1357.478518,12.92010384,1321.515717,828.2274857,13.06999414,1287.467405,1166.768384,1230.601807,3884.408522,1332.849836
6/22/2023,1357.607542,13.00660321,1321.62367,828.3379416,13.75973279,1287.526903,1166.776726,1230.676708,3884.551953,1332.896848
6/23/2023,1357.510424,13.11140069,1321.502867,828.503241,14.22333574,1287.484373,1166.757509,1230.60786,3884.334405,1332.879423
6/24/2023,1357.336863,12.69933014,1321.287916,828.4109591,12.75547029,1287.270283,1166.528848,1230.374061,3884.448253,1332.653322
6/25/2023,1357.266594,12.75157137,1321.2852,828.3230457,13.86770565,1287.264774,1166.54394,1230.384304,3884.253296,1332.648438
6/26/2023,1357.730876,12.83263302,1321.735399,828.3690381,13.68032582,1287.650687,1166.910367,1230.950236,3884.856268,1333.127112
6/27/2023,1358.000556,12.99084716,1321.992958,828.4615712,14.1236052,1287.939074,1167.294121,1231.186632,3885.38569,1333.334041
6/28/2023,1357.775376,13.42231858,1321.645314,828.7776243,13.22675815,1287.673217,1166.978904,1230.920191,3884.551905,1333.194283
6/29/2023,1357.81851,13.29069224,1321.635472,828.588823,13.77817472,1287.719831,1167.021906,1231.154139,3884.51071,1333.210831
6/30/2023,1357.678839,13.22269295,1321.507712,828.608478,13.47262014,1287.587237,1167.040716,1231.405213,3884.268918,1333.126461
7/1/2023,1357.875291,13.02951557,1321.670322,828.7668917,13.91146924,1287.702345,1167.171033,1231.567529,3885.208138,1333.261585
7/2/2023,1357.742566,12.89697819,1321.667418,828.6134056,14.04127794,1287.602741,1167.110821,1231.43614,3885.018007,1333.216944
7/3/2023,1357.995039,13.10189401,1321.8199,828.8143082,13.49837353,1287.729905,1167.308923,1231.731922,3885.144021,1333.452177
7/4/2023,1357.660924,13.05283938,1321.543994,828.6195873,13.32998381,1287.48957,1167.02938,1231.378899,3884.373625,1333.109552
7/5/2023,1357.672955,13.05288526,1321.581226,828.5235283,13.92999087,1287.469197,1167.144035,1231.585209,3884.190827,1333.074052
7/6/2023,1357.530409,12.24811987,1321.582375,828.2787487,13.16210203,1287.439041,1166.998439,1231.44199,3884.734589,1333.03511
7/7/2023,1357.375266,12.94976338,1321.576994,828.5426018,14.20446637,1287.395399,1166.905403,1231.542302,3884.32923,1333.075637
7/8/2023,1356.798129,12.47436597,1321.297046,828.3588275,13.3709452,1287.083914,1166.450204,1231.268664,3884.153373,1332.780385
7/9/2023,1357.14146,12.56790123,1321.596758,828.579073,14.17347231,1287.401621,1166.786497,1231.632788,3885.028366,1333.128171
7/10/2023,1356.271271,12.66069606,1321.082128,828.4312732,13.65531611,1286.896531,1166.07968,1231.363981,3883.949997,1332.643004
7/11/2023,1356.670608,11.96247571,1321.249074,827.9975332,13.12298649,1287.101281,1166.327561,1231.57624,3885.003116,1333.010252
7/12/2023,1356.453921,11.97133054,1321.061425,828.0430283,12.80687194,1286.937802,1166.165067,1231.594217,3884.787855,1332.858816
7/13/2023,1356.135489,11.95138297,1320.706144,828.2272523,12.86975205,1286.614466,1165.795075,1231.334597,3884.608378,1332.474806
7/14/2023,1355.873728,11.97386169,1320.513122,828.019297,12.25276068,1286.450362,1165.537355,1231.024829,3883.794497,1332.225857
7/15/2023,1355.678614,11.64392124,1320.383475,827.6941753,11.41645049,1286.369718,1165.408922,1230.473973,3883.844379,1331.916663
7/16/2023,1354.776839,11.85528246,1319.529647,827.7862355,11.03696647,1285.352011,1164.699397,1229.671902,3882.356784,1331.111699
7/17/2023,1354.992445,12.12317441,1319.755536,828.0365161,12.01097483,1285.577362,1164.972852,1229.794783,3882.756195,1331.451122
7/18/2023,1355.549553,12.18645425,1320.267664,828.0402805,12.56046223,1286.158559,1165.471741,1230.305543,3883.557729,1331.966417
7/19/2023,1355.608409,12.13015257,1320.339916,827.9697178,11.78117902,1286.296426,1165.553033,1230.534453,3883.724193,1332.105779
7/20/2023,1355.710026,12.29804996,1320.43678,828.1684085,12.52862821,1286.357735,1165.734431,1230.676543,3884.084076,1332.212686
7/21/2023,1356.517157,12.79319541,1321.275682,828.512552,13.65885827,1287.164609,1166.447692,1231.310095,3885.516447,1333.057555
7/22/2023,1356.296803,13.4861319,1321.024228,828.7570397,14.41112355,1286.888066,1166.177787,1231.005701,3884.392392,1332.930936
7/23/2023,1356.519398,13.44715048,1321.139592,828.5885733,12.77555964,1287.057183,1166.215346,1231.091473,3884.532046,1333.093448
7/24/2023,1357.120494,13.85323514,1321.78388,828.6937194,13.51805836,1287.797549,1166.754215,1231.579892,3885.465647,1333.645313
7/25/2023,1356.970837,13.7134667,1321.665508,828.5725324,13.70945109,1287.653536,1166.609021,1231.403978,3885.269253,1333.522382
7/26/2023,1356.926949,13.69414823,1321.687641,828.8465957,13.77283936,1287.755994,1166.603513,1231.374199,3885.451807,1333.529564
7/27/2023,1356.420556,13.49668636,1321.28762,828.5768644,13.93815514,1287.275233,1166.178174,1230.921505,3884.68505,1333.048706
7/28/2023,1356.482217,13.67624115,1321.277303,828.687424,13.57540238,1287.317786,1166.223808,1230.959603,3884.606881,1333.140549
7/29/2023,1355.986985,13.29781109,1320.858417,828.4594831,13.54891919,1286.901951,1165.907899,1230.50852,3884.280658,1332.705426
7/30/2023,1355.83837,13.46037382,1320.675221,828.4939151,13.84639592,1286.747834,1166.0517,1230.393692,3883.690082,1332.52018
7/31/2023,1356.333922,13.6742875,1321.082878,829.0833143,14.63232623,1287.241987,1166.516675,1230.692001,3884.726121,1333.104908
8/1/2023,1356.472717,13.84144242,1321.141959,828.9483523,13.98593292,1287.469086,1166.532669,1230.744103,3884.656838,1333.159121
